"","x","y","z","t"
"1",0.18,7.7464,1.1091,2021-12-12 13:50:46
"2",3.2635,9.1318,-5.2233,2021-12-12 13:50:47
"3",0.7209,10.182,0.5933,2021-12-12 13:50:48
"4",0.7118,7.9614,0.5157,2021-12-12 13:50:49
"5",-2.3104,9.7583,-4.2324,2021-12-12 13:50:50
"6",-4.1788,7.0814,-6.6672,2021-12-12 13:50:51
"7",-0.1759,4.945,-2.8579,2021-12-12 13:50:52
"8",-3.0209,4.0778,-2.3832,2021-12-12 13:50:53
"9",-2.1822,3.6909,-2.3549,2021-12-12 13:50:54
"10",-1.4996,2.2704,-0.6565,2021-12-12 13:50:55
"11",-0.8055,4.1366,-0.3706,2021-12-12 13:50:56
"12",-0.9679,4.1575,1.3644,2021-12-12 13:50:57
"13",-1.0054,3.3624,1.9498,2021-12-12 13:50:58
"14",0.2953,2.8624,0.7168,2021-12-12 13:50:59
"15",-1.7213,1.5154,-0.3544,2021-12-12 13:51:00
"16",-1.5914,1.1791,-2.8543,2021-12-12 13:51:01
"17",-1.9506,1.2981,-2.7099,2021-12-12 13:51:02
"18",-2.7688,0.5019,-3.2584,2021-12-12 13:51:03
"19",0.2426,1.9145,-2.3576,2021-12-12 13:51:04
"20",-3.2696,0.00670000000000004,-1.8196,2021-12-12 13:51:05
"21",1.8324,1.0952,-1.1486,2021-12-12 13:51:06
"22",4.8827,1.6165,-1.4356,2021-12-12 13:51:07
"23",2.475,1.1907,-8.8263,2021-12-12 13:51:08
"24",0.0903,-0.0584,-0.1876,2021-12-12 13:51:09
"25",0.3814,2.9498,3.844,2021-12-12 13:51:10
"26",0.4898,1.5261,1.4721,2021-12-12 13:51:11
"27",-0.2319,1.0776,0.8248,2021-12-12 13:51:12
"28",0.8861,0.2544,0.3001,2021-12-12 13:51:13
"29",0.4492,-0.0119,-1.1255,2021-12-12 13:51:14
"30",0.2218,-0.0827,0.2396,2021-12-12 13:51:15
"31",-6.3242,-2.718,-2.8007,2021-12-12 13:51:16
"32",-0.09,0.9138,1.7409,2021-12-12 13:51:17
"33",0.5934,0.5071,0.6076,2021-12-12 13:51:18
"34",-2.4243,-1.8897,-4.9543,2021-12-12 13:51:19
"35",-12.8833,-25.1907000000002,-182.468300000001,2021-12-12 13:51:20
"36",-0.2625,0.1194,0.0496,2021-12-12 13:51:21
"37",-0.457,-0.0935,-0.0825,2021-12-12 13:51:22
"38",-0.0726,-0.0324,0.045,2021-12-12 13:51:23
"39",-0.0249,-0.0168,0.1002,2021-12-12 13:51:24
"40",-0.224,0.113,-0.2565,2021-12-12 13:51:25
"41",-0.0924,-0.0554,0.0705,2021-12-12 13:51:26
"42",-0.086,-0.1601,0.1945,2021-12-12 13:51:27
"43",-26.5746,130.9456,-24.8269,2021-12-12 13:51:28
"44",-0.1618,-0.4812,1.2866,2021-12-12 13:51:29
"45",-1.2438,0.4218,3.8132,2021-12-12 13:51:30
"46",-0.108,1.292,3.7574,2021-12-12 13:51:31
"47",-2.0401,8.8436,39.0247,2021-12-12 13:51:32
"48",1.4672,-0.3128,-2.9627,2021-12-12 13:51:33
"49",-3.241,-5.7129,-34.5038,2021-12-12 13:51:34
"50",-0.5142,-0.2026,-0.9532,2021-12-12 13:51:35
"51",-5.6508,-1.1246,-12.7261,2021-12-12 13:51:36
"52",0.568,0.7265,2.0587,2021-12-12 13:51:37
"53",7.9987,20.3352,64.3908000000001,2021-12-12 13:51:38
"54",0.165,-0.1659,2.0375,2021-12-12 13:51:39
"55",-4.4919,2.6096,10.6876,2021-12-12 13:51:40
"56",-0.1313,-0.1181,-0.6863,2021-12-12 13:51:41
"57",2.167,0.124,0.0953,2021-12-12 13:51:42
"58",-0.1466,-0.5686,-0.7945,2021-12-12 13:51:43
"59",5.6777,-1.2468,-6.9347,2021-12-12 13:51:44
"60",-5.78299999999998,18.9465,-91.9106000000003,2021-12-12 13:51:45
"61",1.3222,0.8776,1.0558,2021-12-12 13:51:46
"62",167.3354,-12.4821,-409.1166,2021-12-12 13:51:47
"63",-2.4855,0.4136,2.2929,2021-12-12 13:51:48
"64",0.6291,0.2967,0.766,2021-12-12 13:51:49
"65",1.3185,-0.8714,0.1475,2021-12-12 13:51:50
"66",-0.6885,0.0495,0.7596,2021-12-12 13:51:51
"67",-0.967,1.3309,3.6771,2021-12-12 13:51:52
"68",-3.4955,2.2114,2.9227,2021-12-12 13:51:53
"69",-1.6272,1.164,0.8739,2021-12-12 13:51:54
"70",0.0416,-0.0058,-0.2195,2021-12-12 13:51:55
"71",-1.5455,-1.7609,-1.8377,2021-12-12 13:51:56
"72",-0.0629,-1.2557,-1.3311,2021-12-12 13:51:57
"73",0.8018,-2.2487,-1.9225,2021-12-12 13:51:58
"74",1.6561,-2.3144,-0.621,2021-12-12 13:51:59
"75",0.2754,-1.1125,-0.8009,2021-12-12 13:52:00
"76",8.7702,-19.7353,-13.8146,2021-12-12 13:52:01
"77",-0.8119,-0.727,-1.4816,2021-12-12 13:52:02
"78",-0.2341,-0.6691,-0.8199,2021-12-12 13:52:03
"79",117.0875,-33.6385,138.8126,2021-12-12 13:52:04
"80",-1.067,-0.2224,3.4823,2021-12-12 13:52:05
"81",-1.9862,0.665,2.1037,2021-12-12 13:52:06
"82",0.2081,0.3921,2.1179,2021-12-12 13:52:07
"83",0.4281,0.865,1.0449,2021-12-12 13:52:08
"84",-1.0003,0.1979,0.8561,2021-12-12 13:52:09
"85",1.4399,0.6956,0.2049,2021-12-12 13:52:10
"86",0.4977,0.0912,-0.0075,2021-12-12 13:52:11
"87",1.0947,0.1155,-1.2884,2021-12-12 13:52:12
"88",0.0468,-0.3557,-0.0995,2021-12-12 13:52:13
"89",0.5472,0.2499,0.9538,2021-12-12 13:52:14
"90",6.835,-4.7088,-10.5231,2021-12-12 13:52:15
"91",-0.3407,0.9231,0.7796,2021-12-12 13:52:16
"92",0.4805,0.183,0.2189,2021-12-12 13:52:17
"93",2034.959,-1001.2723,-253.9033,2021-12-12 13:52:18
"94",-1.3646,-0.1584,-2.2952,2021-12-12 13:52:19
"95",0.1822,-0.8653,1.7674,2021-12-12 13:52:20
"96",-1.0252,-0.2047,-0.4449,2021-12-12 13:52:21
"97",-1.097,-0.0117999999999999,0.1561,2021-12-12 13:52:22
"98",-1.1833,-0.7501,-0.8986,2021-12-12 13:52:23
"99",-0.5267,-0.1618,0.067,2021-12-12 13:52:24
"100",-1.1906,-1.7869,1.4423,2021-12-12 13:52:25
"101",0.4043,-1.686,2.8618,2021-12-12 13:52:26
"102",-1.5179,-0.8644,0.1558,2021-12-12 13:52:27
"103",-1.7513,-0.9632,-0.3015,2021-12-12 13:52:28
"104",-0.9328,-0.7499,-0.2123,2021-12-12 13:52:29
"105",-0.6955,-1.0048,-0.2884,2021-12-12 13:52:30
"106",-1.1003,-0.763,0.516,2021-12-12 13:52:31
"107",-2.4049,-1.0106,-0.2424,2021-12-12 13:52:32
"108",-0.2047,-0.134,1.1146,2021-12-12 13:52:33
"109",0.3003,-2.844,-0.3726,2021-12-12 13:52:34
"110",-0.9235,-1.3415,-0.824,2021-12-12 13:52:35
"111",-0.2675,-1.3696,-0.0198,2021-12-12 13:52:36
"112",1.0427,-0.0087,2.9591,2021-12-12 13:52:37
"113",-1.6312,0.2362,1.5562,2021-12-12 13:52:38
"114",0.2069,-0.447,-0.0441,2021-12-12 13:52:39
"115",-0.927,-0.0561,-1.1002,2021-12-12 13:52:40
"116",1.8849,-0.9478,0.5827,2021-12-12 13:52:41
"117",1.2573,-1.1636,0.8494,2021-12-12 13:52:42
"118",-0.2301,-0.8982,1.4774,2021-12-12 13:52:43
"119",0.529,0.5094,1.4015,2021-12-12 13:52:44
"120",0.6804,-0.1466,1.6544,2021-12-12 13:52:45
"121",0.3795,-1.8542,0.0528,2021-12-12 13:52:46
"122",0.6092,-1.7678,0.3132,2021-12-12 13:52:47
"123",1.3191,-1.7233,2.0776,2021-12-12 13:52:48
"124",3.7807,-2.3587,0.2524,2021-12-12 13:52:49
"125",-0.9461,-0.4773,1.1009,2021-12-12 13:52:50
"126",-1.4181,-1.7883,1.383,2021-12-12 13:52:51
"127",0.7093,-1.9379,1.5354,2021-12-12 13:52:52
"128",-1.852,-1.2521,0.8842,2021-12-12 13:52:53
"129",-1.7844,-0.9362,1.089,2021-12-12 13:52:54
"130",-1.7218,-1.0005,0.946,2021-12-12 13:52:55
"131",-1.8798,-1.1207,0.1703,2021-12-12 13:52:56
"132",-1.2358,-1.0869,0.9527,2021-12-12 13:52:57
"133",-2.0537,-1.3642,0.4442,2021-12-12 13:52:58
"134",-1.2259,-2.2391,0.1495,2021-12-12 13:52:59
"135",-1.4566,-1.0596,0.1051,2021-12-12 13:53:00
"136",-3.4129,-1.8051,-0.4678,2021-12-12 13:53:01
"137",-4.3008,-0.9834,-0.6171,2021-12-12 13:53:02
"138",-3.5072,-1.0511,1.0986,2021-12-12 13:53:03
"139",-3.0509,-1.8347,1.7097,2021-12-12 13:53:04
"140",-3.0477,-1.7998,0.0725,2021-12-12 13:53:05
"141",0.2954,-2.0233,0.7919,2021-12-12 13:53:06
"142",0.2968,-0.4552,3.3743,2021-12-12 13:53:07
"143",-0.2254,-2.0622,1.0367,2021-12-12 13:53:08
"144",0.3634,-2.6391,-0.0702,2021-12-12 13:53:09
"145",-1.2067,-1.1741,1.9722,2021-12-12 13:53:10
"146",0.1342,-1.7348,3.0483,2021-12-12 13:53:11
"147",-0.6026,-0.9954,0.9747,2021-12-12 13:53:12
"148",-1.4221,-1.1392,1.574,2021-12-12 13:53:13
"149",-0.9861,-0.4558,0.0961,2021-12-12 13:53:14
"150",-0.1911,-0.094,2.6203,2021-12-12 13:53:15
"151",-1.4497,-1.1073,2.1309,2021-12-12 13:53:16
"152",-1.6167,-1.7184,-1.1598,2021-12-12 13:53:17
"153",-3.1682,-1.3134,2.6167,2021-12-12 13:53:18
"154",-3.7334,-1.6786,0.698,2021-12-12 13:53:19
"155",-3.5363,-1.4954,-1.8212,2021-12-12 13:53:20
"156",-3.6445,-1.4678,1.4537,2021-12-12 13:53:21
"157",-1.818,-2.5519,-0.3643,2021-12-12 13:53:22
"158",-1.6707,-1.4086,0.6761,2021-12-12 13:53:23
"159",-1.8736,-1.6349,0.2084,2021-12-12 13:53:24
"160",0.8648,-1.6965,1.8808,2021-12-12 13:53:25
"161",0.7265,-0.7955,2.2952,2021-12-12 13:53:26
"162",0.185,-1.3261,0.1237,2021-12-12 13:53:27
"163",2.849,-1.575,1.1286,2021-12-12 13:53:28
"164",2.7668,-2.3518,1.6147,2021-12-12 13:53:29
"165",1.2012,-1.0142,-0.3902,2021-12-12 13:53:30
"166",-0.6346,-1.7037,-0.1546,2021-12-12 13:53:31
"167",-0.7218,-1.0192,-0.1848,2021-12-12 13:53:32
"168",-1.0488,0.6613,0.7406,2021-12-12 13:53:33
"169",-0.9119,-0.039,-1.5534,2021-12-12 13:53:34
"170",-1.8229,0.293,-0.4601,2021-12-12 13:53:35
"171",-2.3698,0.2519,-0.7501,2021-12-12 13:53:36
"172",-3.0611,-0.4023,-0.3995,2021-12-12 13:53:37
"173",-0.1757,-0.675,-0.6337,2021-12-12 13:53:38
"174",0.6072,-1.7516,2.0796,2021-12-12 13:53:39
"175",0.1532,-2.16,0.7342,2021-12-12 13:53:40
"176",0.9283,-2.3223,0.5339,2021-12-12 13:53:41
"177",-2.1495,-1.1858,0.7177,2021-12-12 13:53:42
"178",-1.6859,-1.3926,2.0225,2021-12-12 13:53:43
"179",-1.5479,-2.6636,0.6997,2021-12-12 13:53:44
"180",-1.3943,-3.1315,1.7548,2021-12-12 13:53:45
"181",-1.9309,-0.79,3.2985,2021-12-12 13:53:46
"182",-0.9187,-2.1595,-0.7966,2021-12-12 13:53:47
"183",-2.4131,-2.1082,1.2608,2021-12-12 13:53:48
"184",-1.0088,-2.0979,1.823,2021-12-12 13:53:49
"185",-1.148,-0.8635,1.8631,2021-12-12 13:53:50
"186",-0.3773,-1.0774,0.5205,2021-12-12 13:53:51
"187",-0.3526,-0.507,0.6489,2021-12-12 13:53:52
"188",-0.1418,-0.9333,1.6344,2021-12-12 13:53:53
"189",-0.5253,-1.1297,0.8129,2021-12-12 13:53:54
"190",-0.4028,-2.1073,0.8792,2021-12-12 13:53:55
"191",-1.111,-1.126,1.8532,2021-12-12 13:53:56
"192",-0.3985,-1.1548,0.3438,2021-12-12 13:53:57
"193",0.1094,-1.952,-0.9724,2021-12-12 13:53:58
"194",-0.3204,-1.9078,-1.0286,2021-12-12 13:53:59
"195",-0.3212,-0.8669,0.807,2021-12-12 13:54:00
"196",0.7712,-1.6206,-1.4003,2021-12-12 13:54:01
"197",0.6977,-1.0571,-0.4148,2021-12-12 13:54:02
"198",1.1805,-0.6327,-1.3406,2021-12-12 13:54:03
"199",0.7044,-0.3045,1.0207,2021-12-12 13:54:04
"200",0.00379999999999997,-0.4755,0.6016,2021-12-12 13:54:05
"201",-1.9412,-0.3639,0.6284,2021-12-12 13:54:06
"202",-0.7691,-0.8243,1.5302,2021-12-12 13:54:07
"203",-0.6509,-1.0654,1.7473,2021-12-12 13:54:08
"204",-0.6274,-0.1354,4.1673,2021-12-12 13:54:09
"205",-0.5587,-3.4624,-2.2276,2021-12-12 13:54:10
"206",0.1712,-0.2001,2.5622,2021-12-12 13:54:11
"207",-0.8895,-1.7101,0.337,2021-12-12 13:54:12
"208",-0.1297,-0.1019,0.9534,2021-12-12 13:54:13
"209",-0.0493,-0.9549,1.5815,2021-12-12 13:54:14
"210",-1.6354,-0.854,3.1685,2021-12-12 13:54:15
"211",-1.2424,-2.2432,-0.271,2021-12-12 13:54:16
"212",-0.974,-1.5078,2.8475,2021-12-12 13:54:17
"213",-1.4679,-0.3517,0.9618,2021-12-12 13:54:18
"214",-1.7732,-2.5044,0.1081,2021-12-12 13:54:19
"215",-1.4688,-1.9447,-0.2777,2021-12-12 13:54:20
"216",-0.0311,-1.641,0.1721,2021-12-12 13:54:21
"217",-1.1659,-1.1881,0.00440000000000002,2021-12-12 13:54:22
"218",0.5326,-0.4306,0.9101,2021-12-12 13:54:23
"219",-2.3605,0.0941,1.7622,2021-12-12 13:54:24
"220",-1.4037,-1.2089,0.1335,2021-12-12 13:54:25
"221",-1.3565,-0.8354,0.3294,2021-12-12 13:54:26
"222",-0.5168,0.2637,3.9503,2021-12-12 13:54:27
"223",-0.9271,-1.0255,1.1431,2021-12-12 13:54:28
"224",0.9997,-1.3386,2.3615,2021-12-12 13:54:29
"225",-1.4821,-3.0881,0.8837,2021-12-12 13:54:30
"226",-0.8636,-0.5737,2.4915,2021-12-12 13:54:31
"227",-0.8549,-0.7448,0.9992,2021-12-12 13:54:32
"228",1.6759,-0.2508,1.2455,2021-12-12 13:54:33
"229",1.5287,-1.8213,1.3064,2021-12-12 13:54:34
"230",0.9575,-2.2922,0.6574,2021-12-12 13:54:35
"231",1.4041,-1.677,1.0602,2021-12-12 13:54:36
"232",1.6701,1.6238,5.1382,2021-12-12 13:54:37
"233",-0.464,-0.7886,3.3495,2021-12-12 13:54:38
"234",-1.1546,-3.6256,1.2896,2021-12-12 13:54:39
"235",-1.1753,-0.8362,2.0518,2021-12-12 13:54:40
"236",-0.1653,-1.5559,2.3574,2021-12-12 13:54:41
"237",-0.0441,-1.5463,1.5728,2021-12-12 13:54:42
"238",-1.7278,-2.2041,0.1165,2021-12-12 13:54:43
"239",-1.5311,-2.1516,-0.3622,2021-12-12 13:54:44
"240",-2.5584,-2.205,2.5834,2021-12-12 13:54:45
"241",-0.9549,-1.0527,1.3243,2021-12-12 13:54:46
"242",-1.341,-2.9511,0.6439,2021-12-12 13:54:47
"243",-0.6805,-2.6965,-0.2986,2021-12-12 13:54:48
"244",-2.4534,-5.0496,2.1286,2021-12-12 13:54:49
"245",1.9659,-1.805,5.8713,2021-12-12 13:54:50
"246",2.0841,3.3795,1.7143,2021-12-12 13:54:51
"247",-1.8214,0.3268,0.7958,2021-12-12 13:54:52
"248",-0.9515,0.1639,-0.244,2021-12-12 13:54:53
"249",-0.4983,0.0318,0.1467,2021-12-12 13:54:54
"250",-0.1213,0.148,0.0179,2021-12-12 13:54:55
"251",-0.2832,0.6427,1.1701,2021-12-12 13:54:56
"252",1.4341,1.3696,0.3913,2021-12-12 13:54:57
"253",-0.2921,0.4373,0.0294,2021-12-12 13:54:58
"254",-0.3842,-0.0882,0.4856,2021-12-12 13:54:59
"255",-1.8107,-0.5326,1.2707,2021-12-12 13:55:00
"256",-2.4132,-0.6539,0.5074,2021-12-12 13:55:01
"257",-3.1191,-1.0525,1.3064,2021-12-12 13:55:02
"258",-3.8925,-1.2599,1.6322,2021-12-12 13:55:03
"259",-1.8244,-1.6814,0.3279,2021-12-12 13:55:04
"260",0.6462,-2.0974,-0.6501,2021-12-12 13:55:05
"261",0.9477,-1.8902,-1.4847,2021-12-12 13:55:06
"262",-0.5875,-1.8286,-0.3548,2021-12-12 13:55:07
"263",-1.2439,-2.2104,0.2403,2021-12-12 13:55:08
"264",-26.7248,24.1759,-13.357,2021-12-12 13:55:09
"265",-1.1302,-0.8575,-2.5171,2021-12-12 13:55:10
"266",10.0631,-31.6733,9.59430000000001,2021-12-12 13:55:11
"267",-0.9574,0.3237,-2.6745,2021-12-12 13:55:12
"268",9.6542,-19.6252,-6.1838,2021-12-12 13:55:13
"269",2.2191,-5.466,-1.2781,2021-12-12 13:55:14
"270",-0.9243,-1.4719,-1.1492,2021-12-12 13:55:15
"271",-0.8197,-1.5691,-0.0323,2021-12-12 13:55:16
"272",-0.8105,-0.4589,-1.0189,2021-12-12 13:55:17
"273",1.9642,-0.3329,0.5484,2021-12-12 13:55:18
"274",5.1081,-3.1671,4.3236,2021-12-12 13:55:19
"275",-1.5472,-1.8996,-0.938,2021-12-12 13:55:20
"276",-0.1119,-0.3051,0.4257,2021-12-12 13:55:21
